Year,Genre,MIR_pc_1,MIR_pc_2,lyric_pc_1,lyric_pc_2,lyric_range,MIR_range
1980,Folk,-21.430987182289027,13.658216090039543,-1.904727874676058,-0.17069677142860526,1.3796148300170898,0.9368683771598572
1981,Folk,14.641092975285567,18.73392277900969,0.8862180576332476,2.966697212727737,1.5454053878784182,0.8568039763207729
1982,Folk,-19.80232012607559,-2.5000690335236704,-3.355828465660115,1.2184400892736424,3.307672500610352,0.746735462043981
1984,Folk,-55.99507939292739,-5.623781345375101,-3.5484819529462914,0.08100020193238586,0.0,0.0
1986,Folk,-9.650952468919105,4.693793300094362,1.547919292543296,-4.180437315858702,0.0,0.0
1997,Folk,-17.025499750385134,21.845586253493448,-2.0841303507714355,0.005837817967224019,0.0,0.0
1998,Folk,-10.063602694097911,10.007199556021545,-1.4828681287657595,1.4666987199933677,2.1911058425903343,0.967636376903196
1999,Folk,-10.347059592880198,-37.14658270868023,-2.7843652102542533,3.8516787754700013,0.0,0.0
2001,Folk,-26.26676751447911,-26.262027674630314,-0.21388476577646306,1.5811566262021208,0.0,0.0
2009,Folk,-0.08100931190357168,61.135150505910225,-3.6801644689792123,0.5430295733399064,0.0,0.0
2010,Folk,-18.683967395789647,-1.4869994538055888,-1.9704563075983816,1.1906439414559815,0.0,4.440892098500626e-16
1974,New Age,-29.011704540430305,-17.383067078356852,0.11905671587644663,0.2611700850154281,0.0,0.0
1989,New Age,-4.01578302346912,-3.068597653949774,-2.4549278731322652,-0.6018842107400633,0.0,0.0
1991,New Age,17.41765311781279,-21.695556840487715,1.600548142884592,-0.9610781145012274,0.0,0.0
1992,New Age,5.555847109098456,40.069885855875036,-1.082578412434205,1.6699407177528396,0.0,0.0
1994,New Age,24.024785142756905,-28.57655851047866,-2.9505124392610766,1.2236308801424056,0.0,0.0
1995,New Age,30.373801700281184,6.116514373629221,-4.223034367023978,-0.792524145582823,0.0,0.0
1996,New Age,43.82838193675402,-18.301880523083906,-1.6760576254590347,0.34167904531657267,0.0,0.04694749919022589
1998,New Age,-34.22691964556503,-1.6190775098546455,0.7486347889256456,-2.0396961297309573,0.0,0.0
